"GEOID","NAME","year","category","estimate","moe"
"47037014600","Census Tract 146, Davidson County, Tennessee",2000,"CBD",23102,NA
"47037014700","Census Tract 147, Davidson County, Tennessee",2000,"CBD",46250,NA
"47037011300","Census Tract 113, Davidson County, Tennessee",2000,"Adjacent",29054,NA
"47037011700","Census Tract 117, Davidson County, Tennessee",2000,"Adjacent",30012,NA
"47037011800","Census Tract 118, Davidson County, Tennessee",2000,"Adjacent",18274,NA
"47037011900","Census Tract 119, Davidson County, Tennessee",2000,"Adjacent",20338,NA
"47037012000","Census Tract 120, Davidson County, Tennessee",2000,"Adjacent",46198,NA
"47037012100","Census Tract 121, Davidson County, Tennessee",2000,"Adjacent",40781,NA
"47037012200","Census Tract 122, Davidson County, Tennessee",2000,"Adjacent",33444,NA
"47037012300","Census Tract 123, Davidson County, Tennessee",2000,"Adjacent",28000,NA
"47037012400","Census Tract 124, Davidson County, Tennessee",2000,"Adjacent",8376,NA
"47037012500","Census Tract 125, Davidson County, Tennessee",2000,"Adjacent",34688,NA
"47037012600","Census Tract 126, Davidson County, Tennessee",2000,"Adjacent",24545,NA
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2000,"Adjacent",31563,NA
"47037013500","Census Tract 135, Davidson County, Tennessee",2000,"Adjacent",28098,NA
"47037013600","Census Tract 136, Davidson County, Tennessee",2000,"Adjacent",14714,NA
"47037013700","Census Tract 137, Davidson County, Tennessee",2000,"Adjacent",18803,NA
"47037013800","Census Tract 138, Davidson County, Tennessee",2000,"Adjacent",20848,NA
"47037013900","Census Tract 139, Davidson County, Tennessee",2000,"Adjacent",19279,NA
"47037014000","Census Tract 140, Davidson County, Tennessee",2000,"Adjacent",14434,NA
"47037014100","Census Tract 141, Davidson County, Tennessee",2000,"Adjacent",29276,NA
"47037014200","Census Tract 142, Davidson County, Tennessee",2000,"Adjacent",15993,NA
"47037014300","Census Tract 143, Davidson County, Tennessee",2000,"Adjacent",20922,NA
"47037014400","Census Tract 144, Davidson County, Tennessee",2000,"Adjacent",7719,NA
"47037014500","Census Tract 145, Davidson County, Tennessee",2000,"Adjacent",17240,NA
"47037014900","Census Tract 149, Davidson County, Tennessee",2000,"Adjacent",26417,NA
"47037015900","Census Tract 159, Davidson County, Tennessee",2000,"Adjacent",17612,NA
"47037016000","Census Tract 160, Davidson County, Tennessee",2000,"Adjacent",12686,NA
"47037016100","Census Tract 161, Davidson County, Tennessee",2000,"Adjacent",21936,NA
"47037016200","Census Tract 162, Davidson County, Tennessee",2000,"Adjacent",17737,NA
"47037016300","Census Tract 163, Davidson County, Tennessee",2000,"Adjacent",26458,NA
"47037016400","Census Tract 164, Davidson County, Tennessee",2000,"Adjacent",19226,NA
"47037016500","Census Tract 165, Davidson County, Tennessee",2000,"Adjacent",20594,NA
"47037016600","Census Tract 166, Davidson County, Tennessee",2000,"Adjacent",22083,NA
"47037016800","Census Tract 168, Davidson County, Tennessee",2000,"Adjacent",38219,NA
