"GEOID","NAME","year","category","estimate","moe"
"47037014600","Census Tract 146, Davidson County, Tennessee",2000,"CBD",77500,NA
"47037014700","Census Tract 147, Davidson County, Tennessee",2000,"CBD",97900,NA
"47037011300","Census Tract 113, Davidson County, Tennessee",2000,"Adjacent",61100,NA
"47037011700","Census Tract 117, Davidson County, Tennessee",2000,"Adjacent",75300,NA
"47037011800","Census Tract 118, Davidson County, Tennessee",2000,"Adjacent",55200,NA
"47037011900","Census Tract 119, Davidson County, Tennessee",2000,"Adjacent",64700,NA
"47037012000","Census Tract 120, Davidson County, Tennessee",2000,"Adjacent",152200,NA
"47037012100","Census Tract 121, Davidson County, Tennessee",2000,"Adjacent",108100,NA
"47037012200","Census Tract 122, Davidson County, Tennessee",2000,"Adjacent",83500,NA
"47037012300","Census Tract 123, Davidson County, Tennessee",2000,"Adjacent",58000,NA
"47037012400","Census Tract 124, Davidson County, Tennessee",2000,"Adjacent",142500,NA
"47037012500","Census Tract 125, Davidson County, Tennessee",2000,"Adjacent",0,NA
"47037012600","Census Tract 126, Davidson County, Tennessee",2000,"Adjacent",65700,NA
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2000,"Adjacent",89300,NA
"47037013500","Census Tract 135, Davidson County, Tennessee",2000,"Adjacent",73700,NA
"47037013600","Census Tract 136, Davidson County, Tennessee",2000,"Adjacent",84300,NA
"47037013700","Census Tract 137, Davidson County, Tennessee",2000,"Adjacent",61600,NA
"47037013800","Census Tract 138, Davidson County, Tennessee",2000,"Adjacent",51900,NA
"47037013900","Census Tract 139, Davidson County, Tennessee",2000,"Adjacent",54800,NA
"47037014000","Census Tract 140, Davidson County, Tennessee",2000,"Adjacent",61600,NA
"47037014100","Census Tract 141, Davidson County, Tennessee",2000,"Adjacent",57300,NA
"47037014200","Census Tract 142, Davidson County, Tennessee",2000,"Adjacent",67600,NA
"47037014300","Census Tract 143, Davidson County, Tennessee",2000,"Adjacent",58700,NA
"47037014400","Census Tract 144, Davidson County, Tennessee",2000,"Adjacent",47400,NA
"47037014500","Census Tract 145, Davidson County, Tennessee",2000,"Adjacent",1000001,NA
"47037014900","Census Tract 149, Davidson County, Tennessee",2000,"Adjacent",35900,NA
"47037015900","Census Tract 159, Davidson County, Tennessee",2000,"Adjacent",83800,NA
"47037016000","Census Tract 160, Davidson County, Tennessee",2000,"Adjacent",54200,NA
"47037016100","Census Tract 161, Davidson County, Tennessee",2000,"Adjacent",67300,NA
"47037016200","Census Tract 162, Davidson County, Tennessee",2000,"Adjacent",79800,NA
"47037016300","Census Tract 163, Davidson County, Tennessee",2000,"Adjacent",89100,NA
"47037016400","Census Tract 164, Davidson County, Tennessee",2000,"Adjacent",149200,NA
"47037016500","Census Tract 165, Davidson County, Tennessee",2000,"Adjacent",0,NA
"47037016600","Census Tract 166, Davidson County, Tennessee",2000,"Adjacent",135500,NA
"47037016800","Census Tract 168, Davidson County, Tennessee",2000,"Adjacent",192100,NA
"47037016900","Census Tract 169, Davidson County, Tennessee",2000,"Adjacent",194600,NA
"47037017000","Census Tract 170, Davidson County, Tennessee",2000,"Adjacent",116400,NA
"47037017100","Census Tract 171, Davidson County, Tennessee",2000,"Adjacent",129900,NA
"47037017200","Census Tract 172, Davidson County, Tennessee",2000,"Adjacent",73000,NA
"47037014600","Census Tract 146, Davidson County, Tennessee",2009,"CBD",203300,33104
"47037014700","Census Tract 147, Davidson County, Tennessee",2009,"CBD",161400,21494
"47037011300","Census Tract 113, Davidson County, Tennessee",2009,"Adjacent",96200,7125
"47037011700","Census Tract 117, Davidson County, Tennessee",2009,"Adjacent",123300,43819
"47037011800","Census Tract 118, Davidson County, Tennessee",2009,"Adjacent",102600,14727
"47037011900","Census Tract 119, Davidson County, Tennessee",2009,"Adjacent",96100,14557
"47037012000","Census Tract 120, Davidson County, Tennessee",2009,"Adjacent",283000,57113
"47037012100","Census Tract 121, Davidson County, Tennessee",2009,"Adjacent",216200,14757
"47037012200","Census Tract 122, Davidson County, Tennessee",2009,"Adjacent",158400,28851
"47037012300","Census Tract 123, Davidson County, Tennessee",2009,"Adjacent",119500,34844
"47037012400","Census Tract 124, Davidson County, Tennessee",2009,"Adjacent",338500,73698
"47037012500","Census Tract 125, Davidson County, Tennessee",2009,"Adjacent",NA,0
"47037012600","Census Tract 126, Davidson County, Tennessee",2009,"Adjacent",81900,14695
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2009,"Adjacent",119700,13816
"47037013500","Census Tract 135, Davidson County, Tennessee",2009,"Adjacent",188200,14795
"47037013600","Census Tract 136, Davidson County, Tennessee",2009,"Adjacent",91500,13313
"47037013700","Census Tract 137, Davidson County, Tennessee",2009,"Adjacent",78800,16447
"47037013800","Census Tract 138, Davidson County, Tennessee",2009,"Adjacent",85400,17388
"47037013900","Census Tract 139, Davidson County, Tennessee",2009,"Adjacent",81700,12970
"47037014000","Census Tract 140, Davidson County, Tennessee",2009,"Adjacent",163600,34826
"47037014100","Census Tract 141, Davidson County, Tennessee",2009,"Adjacent",201600,57775
"47037014200","Census Tract 142, Davidson County, Tennessee",2009,"Adjacent",114900,107532
"47037014300","Census Tract 143, Davidson County, Tennessee",2009,"Adjacent",81800,11982
"47037014400","Census Tract 144, Davidson County, Tennessee",2009,"Adjacent",NA,0
"47037014500","Census Tract 145, Davidson County, Tennessee",2009,"Adjacent",231900,31096
"47037014900","Census Tract 149, Davidson County, Tennessee",2009,"Adjacent",49500,27034
"47037015900","Census Tract 159, Davidson County, Tennessee",2009,"Adjacent",105900,21776
"47037016000","Census Tract 160, Davidson County, Tennessee",2009,"Adjacent",68100,46685
